Title,Category,Provider,Format,Audience,Cost,Description,URL,Featured,Location,Date
Professional Learning Communities (PLCs),School-Based & Coaching,International School of The Hague (in-house),In-school,All staff,Free,Recurring collaborative teacher teams that analyse student data and refine instruction together around shared learning goals.,,,ISH · The Hague,
New Staff Mentoring Programme,School-Based & Coaching,International School of The Hague (in-house),In-school,New teachers,Free,"Pairs new and early-career staff with an experienced mentor for sustained support with induction, IB practice and settling into the community.",,,ISH · The Hague,
Lesson Study & In-house INSET,School-Based & Coaching,International School of The Hague (in-house),In-school,All staff,Free,"Whole-staff training days and collaborative lesson-study cycles where teachers co-plan, observe and refine a research lesson to improve shared pedagogy.",,,ISH · The Hague,
Professional Growth & Goal-Setting Cycle,School-Based & Coaching,International School of The Hague (in-house),In-school,All staff,Free,"ISH's annual reflective appraisal cycle where staff set professional goals, gather evidence and review growth against the ISH Community Profile.",,,ISH · The Hague,
Certificate of International School Leadership,Leadership,The Principals' Training Center (PTC),Blended,Senior leaders,Paid,Four week-long learning experiences (in person or online) leading to a leadership certificate widely recognised across international schools.,https://www.theptc.org/ptc-certificate,Yes,Online + in person,
IB Leadership Certificate,Leadership,"IB with university partners (Bath, DePaul)",Blended,Senior leaders,Paid,"University-accredited IB certificate in leadership practice for current and aspiring IB school leaders, building strategic and pedagogical leadership.",https://ibo.org/professional-development/professional-certificates/,,Online / blended,
NPQ for Headship (NPQH) — International,Leadership,Outstanding Leaders Partnership / Best Practice Network,Online (live),Senior leaders,Paid,"UK DfE-accredited headship qualification adapted for international schools, for current and aspiring heads leading whole-school improvement.",https://www.bpninternational.com/qualifications/leadership-npqs/npqh,,Online · live,
NPQ Senior Leadership (NPQSL) — International,Leadership,Best Practice Network (BPN International),Online (live),Senior leaders,Paid,"UK DfE-accredited NPQ for current and aspiring senior leaders, developing strategy, culture and team leadership across the school.",https://www.bpninternational.com/qualifications/leadership-npqs/npqsl,,Online · live,
ECIS Middle Leaders Certificate,Leadership,Educational Collaborative for International Schools (ECIS),Online (live),Coordinators,Paid,"Programme for teacher-leaders, coordinators and assistant principals to build the skills to lead meaningful, student-focused school change.",https://ecis.org/courses-certifications/,,Online · live,
DEIJ Leadership Development Cohort,Leadership,Educational Collaborative for International Schools (ECIS),Online (live),Senior leaders,Paid,"Year-long participant-driven cohort deepening leadership in diversity, equity, inclusion and justice across international schools.",https://ecis.org/deij-cohort/,,Online · live,
ECIS Leadership Conference,Conferences & Networks,Educational Collaborative for International Schools (ECIS),Face-to-face,Senior leaders,Paid,"Flagship European leadership conference on compassionate, connected leadership for thriving international-school communities.",https://ecis.org/event/leadership2026/,,"Lisbon, PT",
CIS Global Forum (Admission & Guidance),Conferences & Networks,Council of International Schools (CIS),Face-to-face,Coordinators,Paid,Major European forum uniting school counsellors and university admissions to support students' transition to university.,https://www.cois.org/colleges-and-universities/professional-development-and-networking/global-forum,,"Prague, CZ",
COBIS Annual Conference,Conferences & Networks,Council of British International Schools (COBIS),Face-to-face,Senior leaders,Paid,"Annual London conference for international-school leaders covering leadership, safeguarding, wellbeing, AI and accreditation.",https://www.cobis.org.uk/professional-learning/annual-conference,,"London, UK",
Learning2 Conference,Conferences & Networks,Learning2 (non-profit),Face-to-face,All staff,Paid,Teacher-led international-schools conference where teacher and student teams design with AI on questions that matter to their school.,https://learning2.org/conferences/,,Europe (rotating),
Bett UK (EdTech Show),Conferences & Networks,Bett / Hyve Group (London),Face-to-face,All staff,Free,"The world's largest education-technology show, with 600+ exhibitors and free CPD sessions on EdTech, AI and classroom innovation.",https://uk.bettshow.com/,,"London, UK",
Google for Education Events & Educator Groups,Conferences & Networks,Google for Education,Blended,All staff,Free,"Events, Teacher Center webinars and Google Educator Groups for networking and hands-on training with Workspace and Gemini tools.",https://edu.google.com/learning-center/,,Online + meetups,
Google Certified Educator Level 1,Online Courses & Certifications,Google for Education,Online (self-paced),All staff,Paid,Entry-level certification validating ability to integrate Google Workspace and Classroom tools effectively into everyday teaching.,https://edu.google.com/intl/ALL_us/learning-center/certifications/,Yes,Online,
Google Certified Educator Level 2,Online Courses & Certifications,Google for Education,Online (self-paced),All staff,Paid,"Advanced certification covering a wider range of Google tools and strategies for technology-rich, student-centred classrooms.",https://edu.google.com/intl/ALL_us/learning-center/certifications/,,Online,
Microsoft Certified Educator (MCE),Online Courses & Certifications,Microsoft / Certiport,Online (self-paced),All staff,Paid,"Certification mapped to the 21st Century Learning Design framework, validating use of technology to design rich learning experiences.",https://learn.microsoft.com/en-us/credentials/certifications/microsoft-certified-educator/,,Online,
Apple Teacher,Online Courses & Certifications,Apple Education,Online (self-paced),All staff,Free,Free self-paced programme earning badges in iPad or Mac plus core apps to design engaging Apple-based lessons.,https://education.apple.com/learning-center,,Online,
Common Sense Educator Certification,Online Courses & Certifications,Common Sense Education,Online (self-paced),All staff,Free,Free recognition programme building confidence to teach digital citizenship and integrate technology safely and responsibly.,https://www.commonsense.org/education/recognition-educators,,Online,
Generative AI for Educators (with Gemini),EdTech & AI,Google for Education + MIT RAISE,Online (self-paced),All staff,Free,"Free two-hour course co-developed with MIT on using generative AI to plan lessons, create assessments, give feedback and differentiate.",https://grow.google/ai-for-educators/,Yes,Online,
AI for Educators / Microsoft Elevate,EdTech & AI,Microsoft Learn (Educator Center),Online (self-paced),All staff,Free,"Free Microsoft Learn pathway introducing AI tools, Copilot and responsible-AI practice for educators.",https://learn.microsoft.com/en-us/training/paths/ai-education/,,Online,
AI Deep Dive for Educators,EdTech & AI,ISTE+ASCD,Online (self-paced),All staff,Paid,"Comprehensive course taking educators from foundational AI concepts through practical, ethical classroom implementation strategies.",https://iste.org/courses/ai-deep-dive-for-educators,,Online,
AI Basics for K-12 Teachers,EdTech & AI,Common Sense Education,Online (self-paced),All staff,Free,"Free introductory course on how generative AI works, its impact on education, and how to use it responsibly with students.",https://www.commonsense.org/education/training/ai-basics-for-k-12-teachers,,Online,
ChatGPT Foundations for K-12 Educators,EdTech & AI,Common Sense Education (with OpenAI),Online (self-paced),All staff,Free,"Free practical course, built with OpenAI, on using ChatGPT effectively and responsibly to support teaching, planning and student learning.",https://www.commonsense.org/education/training,,Online,
Generative AI in Teaching — ISH Staff Sessions,EdTech & AI,International School of The Hague (in-house),In-school,All staff,Free,"In-house workshops on using generative AI responsibly for planning, feedback and differentiation, aligned to ISH's data and safeguarding policies.",,,ISH · The Hague,
Child Protection Workshops,Wellbeing & Inclusion,Council of International Schools (CIS),Online (live),All staff,Paid,Internationally focused safeguarding training to build and strengthen child-protection systems in line with accreditation standards.,https://www.cois.org/about-cis/child-protection/workshops,,Online · live,
Safeguarding Training for International Schools,Wellbeing & Inclusion,Tes (with COBIS),Online (self-paced),All staff,Subscription,"Subscription library of 40+ safeguarding, child-protection and wellbeing courses tailored to the international-school context.",https://www.tes.com/for-schools/safeguarding-training/courses,,Online,
NPQ for SENCOs — International,Wellbeing & Inclusion,Best Practice Network,Online (live),Coordinators,Paid,"UK DfE-accredited qualification for SEN coordinators, building expertise in inclusive provision and leading SEN support.",https://www.bpninternational.com/qualifications/leadership-npqs/npq-for-sencos,,Online · live,
UDL Practitioner Certificate,Wellbeing & Inclusion,Harvard Graduate School of Education,Blended,All staff,Paid,Harvard GSE certificate equipping teachers to apply Universal Design for Learning so lessons are accessible and challenging for every learner.,https://www.gse.harvard.edu/professional-education/certificate/universal-design-learning-practitioner-certificate,,Online,
Visible Thinking (Project Zero),Subject & Pedagogy,Harvard GSE — Project Zero,Online (live),All staff,Paid,Team-based online course on using thinking routines to make student thinking visible and deepen understanding across subjects.,https://pz.harvard.edu/professional-development/online-courses,Yes,Online · live,
Concept-Based Curriculum & Instruction (CBCI),Subject & Pedagogy,Professional Learning International (Erickson & Lanning),Online (live),Coordinators,Paid,"Official Erickson & Lanning training in designing concept-based curriculum and instruction that develops conceptual understanding, not just facts.",https://professionallearninginternational.com/institute-application,,Online · live,
Introduction to UDL,Subject & Pedagogy,CAST,Online (self-paced),All staff,Paid,"Course from CAST, the originators of UDL, introducing the framework and Guidelines with an optional credential to evidence inclusive teaching.",https://www.cast.org/resources/courses/,,Online,
Assessment for Learning,Subject & Pedagogy,University of Illinois (Coursera),Online (self-paced),All staff,Subscription,"University course on formative and diagnostic assessment, including modern analytics, to embed assessment for learning.",https://www.coursera.org/learn/assessmentforlearning,,Online,
Formative Assessment (Dylan Wiliam),Subject & Pedagogy,STEM Learning / FutureLearn,Online (self-paced),Subject leads,Subscription,"FutureLearn ExpertTrack co-authored by Dylan Wiliam on embedding evidence-based formative assessment, with real-classroom examples.",https://www.futurelearn.com/experttracks/formative-assessment-for-learning,,Online,
Canva for the Classroom: 12 Hands-On Activities,EdTech & AI,ISH INSET Day · 10 Jun 2026,In-school,All staff,Free,"Led by Alexandru & Aaron. Work through twelve guided Canva activities and walk away with practical, classroom-ready designs you have made yourself. (Max 30)",https://resources.finalsite.net/images/v1780494839/ishague/arkfwofpwwwlgsaaokud/WorkshopOverviewINSETDay10June2026.pdf,,"The Hague, NL",2026-06-10
Ink & Unwind: Creative Printmaking,Wellbeing & Inclusion,ISH INSET Day · 10 Jun 2026,In-school,All staff,Free,"Led by Julian Tolhurst. A hands-on creative escape exploring printmaking with unexpected materials — no art experience needed. It's about the process, not a perfect result. (Max 20)",https://resources.finalsite.net/images/v1780494839/ishague/arkfwofpwwwlgsaaokud/WorkshopOverviewINSETDay10June2026.pdf,,"The Hague, NL",2026-06-10
Education for Sustainability: A Whole-School Approach,Subject & Pedagogy,ISH INSET Day · 10 Jun 2026,In-school,All staff,Free,"Led by Wieneke Maris. Explore the sustainability challenges the world faces and education's role, mapping what ISH already does and where we can expand. (Max 20)",https://resources.finalsite.net/images/v1780494839/ishague/arkfwofpwwwlgsaaokud/WorkshopOverviewINSETDay10June2026.pdf,,"The Hague, NL",2026-06-10
DJing 101,Wellbeing & Inclusion,ISH INSET Day · 10 Jun 2026,In-school,All staff,Free,"Led by Gijs van Vlaardingen. Learn the basics of DJing and musical theory in a hands-on, refreshing session. (Max 10)",https://resources.finalsite.net/images/v1780494839/ishague/arkfwofpwwwlgsaaokud/WorkshopOverviewINSETDay10June2026.pdf,,"The Hague, NL",2026-06-10
Yoga Nidra,Wellbeing & Inclusion,ISH INSET Day · 10 Jun 2026,In-school,All staff,Free,"Led by Liane Bom. A guided meditation practice that induces deep, conscious relaxation — leave feeling refreshed, calm and at peace. (Max 15)",https://resources.finalsite.net/images/v1780494839/ishague/arkfwofpwwwlgsaaokud/WorkshopOverviewINSETDay10June2026.pdf,,"The Hague, NL",2026-06-10
Rock and Water,Wellbeing & Inclusion,ISH INSET Day · 10 Jun 2026,In-school,All staff,Free,"Led by Tim Smeets. A physical and mental resilience programme for students — exercises and games that build confidence, respect and self-reflection. Barefoot! (Max 15)",https://resources.finalsite.net/images/v1780494839/ishague/arkfwofpwwwlgsaaokud/WorkshopOverviewINSETDay10June2026.pdf,,"The Hague, NL",2026-06-10
Walk / Run for Fun!,Wellbeing & Inclusion,ISH INSET Day · 10 Jun 2026,In-school,All staff,Free,"Led by Niels Brouwers. Start the day with some mild, sociable exercise to feel ready and refreshed. (Max 15)",https://resources.finalsite.net/images/v1780494839/ishague/arkfwofpwwwlgsaaokud/WorkshopOverviewINSETDay10June2026.pdf,,"The Hague, NL",2026-06-10
The Secrets of Breath,Wellbeing & Inclusion,ISH INSET Day · 10 Jun 2026,In-school,All staff,Free,"Led by Karin Holley. Explore breathwork and meditation to reduce stress and anxiety, gain energy and focus, and experience calm. (Max 15)",https://resources.finalsite.net/images/v1780494839/ishague/arkfwofpwwwlgsaaokud/WorkshopOverviewINSETDay10June2026.pdf,,"The Hague, NL",2026-06-10
WWII Walking Tour — On Our Doorstep,Subject & Pedagogy,ISH INSET Day · 10 Jun 2026,In-school,All staff,Free,Led by Joana Bouza Serrano. A local walking tour exploring the impact of the Nazi invasion right here in our neighbourhood. (Max 15),https://resources.finalsite.net/images/v1780494839/ishague/arkfwofpwwwlgsaaokud/WorkshopOverviewINSETDay10June2026.pdf,,"The Hague, NL",2026-06-10
Belonging by Design: Wellbeing at Our School,Wellbeing & Inclusion,ISH INSET Day · 10 Jun 2026,In-school,All staff,Free,"Led by Silvia Semana. Explore the links between belonging, wellbeing and learning, with practical strategies to strengthen belonging in classrooms and across our community. (Max 20)",https://resources.finalsite.net/images/v1780494839/ishague/arkfwofpwwwlgsaaokud/WorkshopOverviewINSETDay10June2026.pdf,,"The Hague, NL",2026-06-10
"Fortbildungen für Deutschlehrkräfte (German Teacher CPD, NL)",Subject & Pedagogy,Goethe-Institut Niederlande (Rotterdam/Amsterdam),Blended,MFL/Language teachers,Paid,"The Dutch Goethe-Institut runs methodology-didactics seminars, German-teacher conferences and tailored department trainings for teachers of German in the Netherlands.",https://www.goethe.de/ins/nl/de/spr/unt/for.html,Yes,"Rotterdam/Amsterdam, NL",
Deutsch Lehren Lernen (DLL),Subject & Pedagogy,Goethe-Institut,Online (live),MFL/Language teachers,Paid,"Goethe's flagship modular qualification series for teachers of German, built around ~400 authentic classroom videos with 10-week units and live online sessions.",https://www.goethe.de/en/spr/unt/dll.html,,Online,
Supporting Multilingual Classrooms,Wellbeing & Inclusion,"ECML — European Centre for Modern Languages (Council of Europe), Graz",Blended,All staff,Free,Council of Europe ECML programme with free teaching units and national training workshops helping schools support migrant and multilingual learners across the languages of schooling.,https://www.ecml.at/en/Training-Consultancy/Supporting-multilingual-classrooms,,"Graz, AT / Online",
ECML Training & Consultancy (TaC) Activities 2026,Subject & Pedagogy,ECML — European Centre for Modern Languages (Council of Europe),Face-to-face,MFL/Language teachers,Free,"Free Council of Europe language-education workshops on CEFR mediation, CLIL/pluriliteracies, plurilingual and intercultural education delivered across member states in 2026.",https://www.ecml.at/en/News/ECML-Calendar,,Europe (rotating),
EUROLTA — European Certificate in Language Teaching,Online Courses & Certifications,ICC — The International Language Association,Blended,MFL/Language teachers,Paid,"Internationally recognised, reflection-based teacher-training certificate open to teachers of all languages, available via European training centres or a 150-hour online cohort.",https://icc-languages.eu/eurolta/,,Europe / Online,
Instituto Cervantes — Teacher Training for ELE,Subject & Pedagogy,Instituto Cervantes,Online (live),MFL/Language teachers,Paid,"Official Spanish-as-a-foreign-language teacher courses (initial training, grammar, young learners) offered online and at European Cervantes centres.",https://londres.cervantes.es/en/courses_spanish/teachers_spanish/teachers_training_initial.htm,,Online / Europe,
BELC — Université d'été (French Language Educators),Subject & Pedagogy,France Éducation International,Face-to-face,MFL/Language teachers,Paid,"France's reference summer/winter university for FLE teachers, trainers and coordinators, organised around teaching, training, management and personal development.",https://www.france-education-international.fr/belc,,France / Online,
CLIL (Content and Language Integrated Learning) Course,Subject & Pedagogy,European School Education Platform / Atlas Language School,Face-to-face,MYP teachers,Paid,"One-week Erasmus+ course teaching subject content through a target language, covering CLIL frameworks, vocabulary, assessment and materials design for primary/secondary teachers.",https://school-education.ec.europa.eu/en/learn/courses/clil-content-and-language-integrated-learning-1,,"Dublin, IE",
"IB Global Conference, Lyon 2026",IB Official,International Baccalaureate Organization,Face-to-face,All staff,Paid,The IB's flagship European conference (22-24 Oct 2026) bringing together IB educators and leaders for sessions across PYP/MYP/DP/CP; early-bird registration open.,https://ibo.org/ib-global-conference-lyon-2026/,Yes,"Lyon, FR",2026-10-22
IB Free Learning — DP & MYP Webinars and IB Exchange,IB Official,International Baccalaureate Organization,Online (self-paced),MYP teachers,Free,"Free, on-demand IB webinars and peer-led IB Exchange sessions deepening MYP/DP subject guidance, unit planning and assessment for IB educators.",https://ibo.org/professional-development/free-learning/,,Online,
Oxford Professional Development for the IB,Subject & Pedagogy,Oxford University Press,Online (self-paced),DP teachers,Varies,"Subject-specific online PD courses and webinars supporting MYP and DP teaching, concept-based learning and assessment, developed by OUP's IB authors.",https://global.oup.com/education/content/professional-development-hub/ib-pd/,,Online,
Nuffic / Erasmus+ Internationalisation Support (NL),Conferences & Networks,Nuffic — Dutch National Agency for Erasmus+,Blended,All staff,Free,"The Dutch internationalisation agency funds and supports staff mobility, COIL and internationalisation-at-home professional learning for schools via Erasmus+.",https://www.nuffic.nl/en,,"The Hague, NL",
EARLI Biennial Conference & SIGs,Conferences & Networks,European Association for Research on Learning and Instruction,Face-to-face,Coordinators,Paid,"Europe's largest education-research association, whose biennial conference and 26 Special Interest Groups connect practitioners to evidence on learning and instruction.",https://www.earli.org/,,Europe (rotating),
CIS Foundations of Transitions-Care Course,Wellbeing & Inclusion,Council of International Schools,Online (live),All staff,Paid,Online CIS course helping international-school staff understand and support the wellbeing of globally mobile ('third-culture') students and families through transitions.,https://www.cois.org/about-cis/events,,Online · live,
CIS Developing Socially Responsible School Governance & Leadership,Leadership,Council of International Schools,Online (live),Senior leaders,Paid,"Multi-month online CIS course building shared understanding of effective, ethical governance and leadership for international schools (Sept 2026-Feb 2027).",https://www.cois.org/about-cis/events,,Online · live,
AAIE Institute for International School Leadership,Leadership,AAIE (with PLS 3rd Learning / Wilkes University),Online (self-paced),Senior leaders,Paid,"Seven online courses for current and aspiring international-school leaders (governance, ethical leadership, school culture), with per-course certificates or AAIE Fellow status.",https://www.aaieinstitute.org/,,Online,
HGSE Instructional Leadership Certificate (ILC),Leadership,Harvard Graduate School of Education,Online (self-paced),Coordinators,Paid,"Four asynchronous six-week online courses building capacity for coaches, department chairs and PD facilitators leading instruction (sessions in 2026).",https://www.gse.harvard.edu/professional-education/certificate/instructional-leadership-certificate-ilc,,Online,
AI Fluency for Educators,EdTech & AI,Anthropic Academy,Online (self-paced),All staff,Free,"Free, ~3-hour self-paced course (co-developed with Ringling College and University College Cork) helping teachers and leaders use AI thoughtfully in practice, with a certificate.",https://www.anthropic.com/learn,Yes,Online,
AI in Education,EdTech & AI,King's College London (via FutureLearn),Online (self-paced),All staff,Varies,"Reworked King's College London course exploring AI's capabilities, limits and ethics across teaching, feedback and assessment, with hands-on 'try it out' activities.",https://www.futurelearn.com/courses/ai-in-education,,Online,
Free Self-Paced Courses (Teacher Academy),EdTech & AI,European School Education Platform (European Commission),Online (self-paced),All staff,Free,"EU's free Teacher Academy library of self-paced online tutorials and courses on AI, sustainability, literacy/numeracy, wellbeing and inclusive pedagogy.",https://school-education.ec.europa.eu/en/learn/self-paced-learning,,Online,
The Bell Foundation — EAL Online Courses (International Schools),Wellbeing & Inclusion,The Bell Foundation,Online (live),All staff,Varies,Evidence-informed EAL/multilingual-learner online courses and free webinars (Language for Results International) with an award-winning assessment framework for international schools.,https://www.bell-foundation.org.uk/our-work/with-international-schools/online-courses/,Yes,Online,
Chartered College of Teaching — International Affiliate,Subject & Pedagogy,Chartered College of Teaching,Online (self-paced),All staff,Subscription,"Low-cost international membership giving teachers free online CPD courses, Bitesize units, the Impact journal and 600+ research articles, plus a Chartered Status pathway.",https://chartered.college/membership/international-affiliate/,,Online,
EEF Teaching and Learning Toolkit,Subject & Pedagogy,Education Endowment Foundation,Online (self-paced),All staff,Free,"Free, regularly updated evidence summaries across 30+ teaching approaches (metacognition, feedback, oral language) with cost and evidence ratings to guide practice.",https://educationendowmentfoundation.org.uk/education-evidence/teaching-learning-toolkit,Yes,Online,
The Science of Well-Being (Yale),Wellbeing & Inclusion,Yale University (via Coursera),Online (self-paced),All staff,Free,"Yale's most-enrolled course (Prof. Laurie Santos), free to audit, teaching evidence-based habits to improve staff wellbeing and happiness.",https://www.coursera.org/learn/the-science-of-well-being,,Online,
